"lat","lng","year","freq","city","state","state_code","mean_dur"
43.5845,-116.5631,2008,1,"nampa","idaho","ID",432000
43.5845,-116.5631,2009,1,"nampa","idaho","ID",8640000
43.5845,-116.5631,2010,1,"nampa","idaho","ID",300
43.5845,-116.5631,2011,5,"nampa","idaho","ID",288
43.5845,-116.5631,2012,2,"nampa","idaho","ID",259200
43.5845,-116.5631,2013,6,"nampa","idaho","ID",432545
43.5845,-116.5631,2014,8,"nampa","idaho","ID",247825.714285714
43.5845,-116.5631,2015,10,"nampa","idaho","ID",510
43.5845,-116.5631,2016,6,"nampa","idaho","ID",1944
43.5845,-116.5631,2017,6,"nampa","idaho","ID",145860
43.5845,-116.5631,2018,1,"nampa","idaho","ID",120
43.5845,-116.5631,2019,3,"nampa","idaho","ID",100
43.5845,-116.5631,2020,8,"nampa","idaho","ID",108637.5
43.5845,-116.5631,2021,1,"nampa","idaho","ID",60
43.5845,-116.5631,NA,2,"nampa","idaho","ID",300
43.5883,-119.0613,2010,1,"burns","oregon","OR",NA
43.5883,-119.0613,2012,1,"burns","oregon","OR",3600
43.5903,-83.8886,2005,1,"bay city","michigan","MI",10800
43.5903,-83.8886,2006,1,"bay city","michigan","MI",NA
43.5903,-83.8886,2008,2,"bay city","michigan","MI",NA
43.5903,-83.8886,2009,1,"bay city","michigan","MI",300
43.5903,-83.8886,2011,3,"bay city","michigan","MI",1350
43.5903,-83.8886,2012,2,"bay city","michigan","MI",219600
43.5903,-83.8886,2013,1,"bay city","michigan","MI",302400
43.5903,-83.8886,2015,3,"bay city","michigan","MI",240
43.5903,-83.8886,2017,1,"bay city","michigan","MI",2592000
43.5928,-96.5799,2010,1,"brandon","south dakota","SD",420
43.5928,-96.5799,2012,1,"brandon","south dakota","SD",300
43.5928,-96.5799,2017,1,"brandon","south dakota","SD",2100
43.5928,-96.5799,2019,3,"brandon","south dakota","SD",2760
43.5931,-110.8441,2019,1,"teton village","wyoming","WY",1800
43.5935,-111.9595,2013,1,"ucon","idaho","ID",1728000
43.5966,-84.7759,2007,2,"mount pleasant","michigan","MI",90
43.5966,-84.7759,2011,1,"mount pleasant","michigan","MI",300
43.5966,-84.7759,2012,3,"mount pleasant","michigan","MI",1350
43.5966,-84.7759,2014,1,"mount pleasant","michigan","MI",60
43.5966,-84.7759,2015,1,"mount pleasant","michigan","MI",10800
43.5966,-84.7759,2018,1,"mount pleasant","michigan","MI",432000
43.5975,-88.2814,1959,1,"campbellsport","wisconsin","WI",1200
43.5975,-88.2814,2008,1,"campbellsport","wisconsin","WI",18000
43.6007,-116.2312,1932,1,"boise","idaho","ID",NA
43.6007,-116.2312,1986,1,"boise","idaho","ID",300
43.6007,-116.2312,1991,1,"boise","idaho","ID",600
43.6007,-116.2312,2000,1,"boise","idaho","ID",240
43.6007,-116.2312,2001,1,"boise","idaho","ID",864000
43.6007,-116.2312,2004,3,"boise","idaho","ID",921700
43.6007,-116.2312,2005,1,"boise","idaho","ID",600
43.6007,-116.2312,2006,8,"boise","idaho","ID",155
43.6007,-116.2312,2007,3,"boise","idaho","ID",1450
43.6007,-116.2312,2008,1,"boise","idaho","ID",540
43.6007,-116.2312,2009,7,"boise","idaho","ID",288750
43.6007,-116.2312,2010,8,"boise","idaho","ID",525505.714285714
43.6007,-116.2312,2011,13,"boise","idaho","ID",578.181818181818
43.6007,-116.2312,2012,12,"boise","idaho","ID",48740
43.6007,-116.2312,2013,25,"boise","idaho","ID",813223.636363636
43.6007,-116.2312,2014,22,"boise","idaho","ID",222648.571428571
43.6007,-116.2312,2015,25,"boise","idaho","ID",448782.5
43.6007,-116.2312,2016,21,"boise","idaho","ID",87360
43.6007,-116.2312,2017,12,"boise","idaho","ID",382020
43.6007,-116.2312,2018,18,"boise","idaho","ID",182184
43.6007,-116.2312,2019,42,"boise","idaho","ID",302838.461538462
43.6007,-116.2312,2020,39,"boise","idaho","ID",709311.666666667
43.6007,-116.2312,2021,5,"boise","idaho","ID",950500
43.6015,-111.1107,2010,1,"victor","idaho","ID",450
43.6015,-111.1107,2017,3,"victor","idaho","ID",7680
43.6021,-84.0757,2007,1,"auburn","michigan","MI",60
43.6021,-84.0757,2014,1,"auburn","michigan","MI",120
43.6021,-84.0757,2017,1,"auburn","michigan","MI",3240000
43.6091,-72.9782,2007,2,"rutland","vermont","VT",432135
43.6091,-72.9782,2010,4,"rutland","vermont","VT",65145
43.6091,-72.9782,2012,1,"rutland","vermont","VT",864000
43.6091,-72.9782,2013,1,"rutland","vermont","VT",180
43.6091,-72.9782,2014,1,"rutland","vermont","VT",180
43.6091,-72.9782,2015,3,"rutland","vermont","VT",870200
43.6091,-72.9782,2016,1,"rutland","vermont","VT",518400
43.6091,-72.9782,2017,2,"rutland","vermont","VT",180
