Date.Time,City,State,Shape,Duration,Summary,Posted,Country,pop,lat,long,capital
2013-04-27,Cobourg,ON,Fireball,300.0,Orange glow traveling silently at high speed in northwesterly direction.,2013-05-15,Canada,18316,43.96,-78.17,0
2013-04-14,Wasaga Beach,ON,Unknown,14400.0,Double rack of lights over Georgian Bay,2013-05-15,Canada,7663,44.53,-79.99,0
2013-03-16,Oshawa,ON,Circle,300.0,Four large red circles in night sky,2013-05-15,Canada,251139,43.89,-78.86,0
2013-03-15,North Bay,ON,Fireball,1728000.0,"Orange-Yellow Small Solid Light Appearing from the South East (North Bay, Ontario).",2013-07-03,Canada,49664,46.3,-79.45,0
2013-03-05,Milton,ON,Light,90.0,"5 bright lights in a chevron pattern moving in a south easterly direction just before midnight, then stopped.",2013-05-15,Canada,23771,43.51,-79.89,0
2013-03-05,Guelph,ON,Light,300.0,Large streaking white light.,2013-04-12,Canada,117979,43.56,-80.26,0
2013-02-06,Dunnville,ON,Oval,172800.0,Silver shape shooting across the sky at low altitude,2013-02-18,Canada,6082,42.91,-79.62,0
2013-02-01,Dryden,ON,Other,1200.0,Flashing lights and a curved shape with high speed.,2013-05-15,Canada,7012,49.78,-92.83,0
2013-01-01,Toronto,ON,Unknown,60.0,White orange red glowing orb moving silently over toronto.,2013-02-04,Canada,4670783,43.65,-79.38,2
2012-12-25,Carleton Place,ON,Circle,864000.0,Multiple orange circles Carleton Place ON December 25.,2013-02-04,Canada,9867,45.13,-76.13,0
2012-12-24,Kanata,ON,Light,600.0,Pulsating glowing red light around a big round bright light,2013-02-04,Canada,100433,45.34,-75.88,0
2012-12-24,North Bay,ON,Light,600.0,Several (12-15) red/orange lights moving erraticly upwards to out of sight.,2013-02-04,Canada,49664,46.3,-79.45,0
2012-12-22,Windsor,ON,Unknown,300.0,Unknown object creating a large zigzag contrail pattern in the sky seen by my friend and I In two different locations.,2013-02-04,Canada,281545,42.3,-83.03,0
2012-12-14,Saint Thomas,ON,Circle,259200.0,Ball of green blue swirling colours falling vertically first then shot horizontally then went out or just disappeared,2012-12-21,Canada,39398,42.78,-81.19,0
2012-12-05,Hamilton,ON,Light,600.0,"Large, bright, colourful ""star-like"" object hovering over Dundas, Ontario.  ((NUFORC Note:  Possibly the star, Sirius?  PD))",2012-12-20,Canada,661942,43.26,-79.85,0
2012-12-05,North Bay,ON,Fireball,2592000.0,"Zigzagging fireball in North bay, Ontario.",2012-12-20,Canada,49664,46.3,-79.45,0
2012-11-22,Ingersoll,ON,Circle,600.0,Multiple orange lights moving south to north 50+.,2012-12-20,Canada,12093,43.03,-80.88,0
2012-11-17,Bobcaygeon,ON,Triangle,1296000.0,"While driving home from toronto recently past cork road on pigeon lake road heading north, then the whole road just lit up from a orang",2013-12-23,Canada,3053,44.53,-78.55,0
2012-11-17,Midland,ON,Sphere,300.0,Three Bright Glowing Orbs floating over my home all the same distance apart ...,2012-11-19,Canada,31902,44.75,-79.89,0
,Sudbury,ON,Oval,300.0,A real sighting that had some sort of communicateion.,2013-02-04,Canada,111118,46.49,-81.01,0
2012-11-11,Brantford,ON,Rectangle,60.0,Was standing out in my backyard stargazing when a strange craft flew overhead. Couldn't tell how high up it was.,2012-11-19,Canada,87972,43.15,-80.26,0
2012-11-08,Barrie,ON,Light,3456000.0,((HOAX??))  White light dot like from the S at 6:30ish am thort it was a satterlight moving slow but suddenly turned west and shot off,2012-11-19,Canada,198492,44.38,-79.68,0
2012-11-03,Milton,ON,Unknown,120.0,"Near Appleby line, 3 bright white rapidly blinking lights;VANISHED, only to reappear further away moments later",2012-11-19,Canada,23771,43.51,-79.89,0
2012-10-25,Toronto,ON,Rectangle,300.0,"Was trying to take photos of Jupiter, and noticed this object in the photos.",2012-10-30,Canada,4670783,43.65,-79.38,2
2012-10-22,Toronto,ON,Light,120.0,Bright single white solid light/orb quietly flies across city sky at low altitude and extinguishes itself after passing over airplane.,2012-10-30,Canada,4670783,43.65,-79.38,2
2012-10-16,Vineland,ON,Triangle,480.0,Triangle of 3 very bright white lights hovering over Victoria ave and south service road,2012-10-30,Canada,2613,43.16,-79.49,0
2012-10-13,Vineland,ON,Circle,2400.0,Tiny stars.,2013-02-04,Canada,2613,43.16,-79.49,0
2012-10-13,Hamilton,ON,Unknown,,Rocket type objects (summer 2012) in Southern Ontario on vertical course. (youtube links),2013-02-18,Canada,661942,43.26,-79.85,0
2012-10-12,Oshawa,ON,Triangle,259200.0,"Large silent metallic craft,very fast and no lights",2012-10-30,Canada,251139,43.89,-78.86,0
2012-10-10,Mount Albert,ON,Triangle,2592000.0,On Wednesday October 10 2012 at 8:17 pm in Mount Albert Ontario I saw a triangle shaped UFO. It had a single light on each point and it,2012-10-30,Canada,2797,44.13,-79.32,0
