"lat","lng","freq","city","state","state_code","mean_dur"
39.7813,-83.0383,1,"commercial point","ohio","OH",259200
39.7836,-84.1219,1,"riverside","ohio","OH",210
39.7837,-75.6815,4,"hockessin","delaware","DE",43485
39.7846,-95.0936,1,"troy","kansas","KS",300
39.7853,-93.0772,1,"brookfield","missouri","MO",1200
39.7858,-75.9801,5,"oxford","pennsylvania","PA",1556010
39.7879,-74.9857,2,"pine hill","new jersey","NJ",930
39.7898,-74.1925,6,"waretown","new jersey","NJ",777948
39.7907,-77.7267,5,"greencastle","pennsylvania","PA",1123524
39.7911,-87.3694,1,"montezuma","indiana","IN",1800
39.7915,-74.9375,6,"berlin","new jersey","NJ",331690
39.7921,-79.9126,1,"greensboro","pennsylvania","PA",14400
39.7936,-85.7737,16,"greenfield","indiana","IN",154577.142857143
39.7953,-93.5499,1,"chillicothe","missouri","MO",1296000
39.7967,-88.2749,1,"tuscola","illinois","IL",3600
39.7969,-97.784,1,"scandia","kansas","KS",180
39.7969,-81.3355,1,"summerfield","ohio","OH",3600
39.7972,-83.8257,1,"clifton","ohio","OH",330
39.7982,-75.0629,10,"blackwood","new jersey","NJ",316110
39.7985,-91.5272,1,"palmyra","missouri","MO",120
39.801,-84.0093,26,"fairborn","ohio","OH",550848.260869565
39.8023,-79.8089,3,"smithfield","pennsylvania","PA",86700
39.8027,-82.7063,11,"carroll","ohio","OH",210
39.8032,-75.4606,3,"claymont","delaware","DE",1800.5
39.8039,-77.0052,2,"midway","pennsylvania","PA",240
39.8043,-105.495,2,"black hawk","colorado","CO",300
