"","City","State","Sightings","Airport Count"
"306","Rio Rancho","NM",36,0
"307","Springfield","MA",36,0
"308","Vacaville","CA",36,0
"309","Cary","NC",35,0
"310","Chula Vista","CA",35,0
"311","Edmond","OK",35,0
"312","Flint","MI",35,1
"313","Jupiter","FL",35,0
"314","Lincoln City","OR",35,0
"315","Ogden","UT",35,2
"316","Panama City Beach","FL",35,0
"317","Port Angeles","WA",35,2
"318","Roswell","NM",35,1
"319","Waterbury","CT",35,0
"320","Annapolis","MD",34,1
"321","Bowling Green","KY",34,1
"322","Canton","OH",34,0
"323","Clovis","CA",34,0
"324","Denton","TX",34,1
"325","Franklin","TN",34,0
"326","Issaquah","WA",34,0
"327","Johnson City","TN",34,0
"328","Napa","CA",34,1
"329","Rapid City","SD",34,2
"330","Roseburg","OR",34,0
"331","Summerville","SC",34,0
"332","Utica","NY",34,0
"333","Westminster","CO",34,0
"334","Apache Junction","AZ",33,0
"335","Easton","PA",33,0
"336","Frederick","MD",33,0
"337","Hemet","CA",33,0
"338","Kenosha","WI",33,1
"339","Kissimmee","FL",33,1
"340","Lancaster","CA",33,1
"341","North Las Vegas","NV",33,0
"342","Palm Coast","FL",33,0
"343","Pasadena","CA",33,0
"344","Plainfield","IL",33,0
"345","San Clemente","CA",33,0
"346","Spring","TX",33,0
"347","Woodbridge","VA",33,0
"348","Broken Arrow","OK",32,0
"349","Columbus","GA",32,1
"350","Federal Way","WA",32,0
"351","Fullerton","CA",32,1
"352","Gulfport","MS",32,1
"353","Hayward","CA",32,1
"354","Holden Beach","NC",32,0
"355","Kansas City","KS",32,0
"356","Lafayette","IN",32,1
"357","Lowell","MA",32,0
"358","Newport Beach","CA",32,0
"359","Norman","OK",32,0
"360","Northbrook","IL",32,0
"361","Oak Island","NC",32,1
"362","Olathe","KS",32,2
"363","Orange","CA",32,0
"364","Pomona","CA",32,0
"365","Portsmouth","VA",32,0
"366","Prescott Valley","AZ",32,0
"367","Redmond","WA",32,0
"368","Sandy","UT",32,0
"369","Wellington","FL",32,0
"370","Abilene","TX",31,2
"371","Binghamton","NY",31,1
"372","Bristol","CT",31,0
"373","Butte","MT",31,1
"374","Conway","AR",31,0
"375","Davis","CA",31,0
"376","Deltona","FL",31,0
"377","Fremont","CA",31,0
"378","Hickory","NC",31,1
"379","Hollister","CA",31,1
"380","Hollywood","FL",31,1
"381","Lakeville","MN",31,0
"382","Lee's Summit","MO",31,0
"383","Moreno Valley","CA",31,0
"384","Panama City","FL",31,3
"385","Pompano Beach","FL",31,1
"386","Springfield","OH",31,1
"387","St. Peters","MO",31,0
"388","Venice","FL",31,1
"389","Ypsilanti","MI",31,0
"390","Arlington","WA",30,1
"391","Bloomington","IL",30,1
"392","Brandon","FL",30,0
"393","Charleston","WV",30,1
"394","Fontana","CA",30,0
"395","Garland","TX",30,0
"396","Gig Harbor","WA",30,0
"397","High Point","NC",30,0
"398","Kalamazoo","MI",30,1
"399","Kelso","WA",30,1
"400","Lafayette","LA",30,1
"401","Madison","AL",30,0
"402","Palm Bay","FL",30,0
"403","Richland","WA",30,0
"404","Roswell","GA",30,0
"405","San Rafael","CA",30,0
"406","Shreveport","LA",30,3
"407","Sonoma","CA",30,0
"408","Thornton","CO",30,0
"409","Waterloo","IA",30,1
"410","West Chester","PA",30,0
"411","Berkeley","CA",29,0
"412","Casa Grande","AZ",29,1
"413","Cheyenne","WY",29,1
"414","Cranston","RI",29,0
"415","Englewood","FL",29,0
"416","Gastonia","NC",29,0
"417","Glendale","CA",29,0
"418","Huntington","WV",29,1
"419","Idaho Falls","ID",29,1
"420","Kingsport","TN",29,0
"421","Lacey","WA",29,0
"422","Lawrence","KS",29,1
"423","Middletown","CT",29,0
"424","Portland","ME",29,1
"425","Prescott","AZ",29,1
"426","Redondo Beach","CA",29,0
"427","Royal Palm Beach","FL",29,0
"428","Santa Monica","CA",29,1
"429","Simpsonville","SC",29,0
"430","Sterling Heights","MI",29,0
"431","Appleton","WI",28,1
"432","Arlington","VA",28,0
"433","Aurora","IL",28,0
"434","Carson City","NV",28,0
"435","Conway","SC",28,1
"436","Daytona Beach","FL",28,1
"437","Garden City","SC",28,0
"438","Greenwood","IN",28,0
"439","Irmo","SC",28,0
"440","Johnstown","PA",28,1
"441","Joliet","IL",28,1
"442","La Mesa","CA",28,0
"443","Lake Elsinore","CA",28,0
"444","Naperville","IL",28,0
"445","Newport News","VA",28,1
"446","Rochester","MN",28,1
"447","Rock Hill","SC",28,1
"448","Santa Maria","CA",28,1
"449","Sioux City","IA",28,1
"450","Sparks","NV",28,0
"451","Taos","NM",28,1
"452","Thousand Oaks","CA",28,0
"453","Athens","GA",27,1
"454","Bangor","ME",27,1
"455","Bethlehem","PA",27,0
"456","Bothell","WA",27,0
"457","Citrus Heights","CA",27,0
"458","Galveston","TX",27,1
"459","Grass Valley","CA",27,0
"460","Hampton","VA",27,1
"461","Indio","CA",27,0
"462","Manassas","VA",27,1
"463","McKinney","TX",27,0
"464","Monroe","WA",27,0
"465","Monterey","CA",27,1
"466","Moore","OK",27,0
"467","Morgantown","WV",27,1
"468","Port Orchard","WA",27,0
"469","Porterville","CA",27,0
"470","Redlands","CA",27,1
"471","Ridgecrest","CA",27,0
"472","Rochester","NH",27,1
"473","Santa Clarita","CA",27,0
"474","Silver Spring","MD",27,0
"475","Spanaway","WA",27,0
"476","Terre Haute","IN",27,1
"477","Apple Valley","CA",26,0
"478","Charlottesville","VA",26,0
"479","Cottonwood","AZ",26,1
"480","Council Bluffs","IA",26,1
"481","Englewood","CO",26,0
"482","Fairborn","OH",26,0
"483","Flagstaff","AZ",26,1
"484","Homestead","FL",26,1
"485","Janesville","WI",26,1
"486","Kingston","NY",26,0
"487","Kokomo","IN",26,1
"488","Lakewood","WA",26,0
"489","Madera","CA",26,1
"490","Merced","CA",26,2
"491","Mission Viejo","CA",26,0
"492","Monroe","MI",26,0
"493","Murrieta","CA",26,0
"494","Newark","NJ",26,1
"495","Oregon City","OR",26,0
"496","Ormond Beach","FL",26,1
"497","Petaluma","CA",26,0
