Duration,lat,lng
600,58.4546,-134.1739
5184000,58.4546,-134.1739
864000,58.4546,-134.1739
900,58.4546,-134.1739
604800,61.3463,-150.0787
,61.577,-149.466
90,61.577,-149.466
600,61.577,-149.466
,61.577,-149.466
60,61.577,-149.466
600,61.577,-149.466
300,61.577,-149.466
1500,61.577,-149.466
150,61.577,-149.466
150,61.577,-149.466
450,61.577,-149.466
180,61.577,-149.466
180,61.577,-149.466
300,61.577,-149.466
1050,61.577,-149.466
2700,61.577,-149.466
2592000,61.577,-149.466
240,61.577,-149.466
864000,61.577,-149.466
43200,61.577,-149.466
180,61.577,-149.466
60,61.577,-149.466
900,61.577,-149.466
3600,61.577,-149.466
864000,61.577,-149.466
120,61.577,-149.466
300,61.577,-149.466
300,61.577,-149.466
270,61.577,-149.466
,61.577,-149.466
1500,61.577,-149.466
300,61.577,-149.466
1800,61.577,-149.466
1800,61.577,-149.466
259200,61.577,-149.466
180,61.577,-149.466
120,61.577,-149.466
900,61.577,-149.466
60,61.577,-149.466
240,61.577,-149.466
600,64.753,-147.36
1050,64.753,-147.36
300,64.753,-147.36
180,64.753,-147.36
216000,64.753,-147.36
345600,64.753,-147.36
,64.753,-147.36
60,64.753,-147.36
1296000,64.753,-147.36
480,64.753,-147.36
1200,64.753,-147.36
10800,64.753,-147.36
1728000,64.753,-147.36
172800,64.753,-147.36
3600,64.753,-147.36
120,60.5619,-151.1985
60,60.5619,-151.1985
7200,60.5619,-151.1985
5184000,60.5619,-151.1985
180,60.5619,-151.1985
900,60.5619,-151.1985
432000,60.5619,-151.1985
300,60.331,-151.2293
1080000,60.331,-151.2293
60,59.653,-151.5255
60,59.653,-151.5255
180,59.653,-151.5255
300,59.653,-151.5255
300,59.653,-151.5255
1200,59.653,-151.5255
1800,59.653,-151.5255
3024000,59.653,-151.5255
432000,59.653,-151.5255
2592000,64.8353,-147.6534
120,64.8353,-147.6534
432000,64.8353,-147.6534
432000,64.8353,-147.6534
90,64.8353,-147.6534
480,64.8353,-147.6534
600,64.8353,-147.6534
150,64.8353,-147.6534
,64.8353,-147.6534
5961600,64.8353,-147.6534
,64.8353,-147.6534
,64.8353,-147.6534
600,64.8353,-147.6534
300,64.8353,-147.6534
1200,64.8353,-147.6534
21600,64.8353,-147.6534
864000,64.8353,-147.6534
900,64.8353,-147.6534
3600,64.8353,-147.6534
3600,64.8353,-147.6534
1800,64.8353,-147.6534
2592000,64.8353,-147.6534
60,64.8353,-147.6534
120,64.8353,-147.6534
450,64.8353,-147.6534
